,X,y_hat,y
10,"Wanda: Let's make a party!
Gina: Why?
Wanda: beacuse. I want some fun!
Gina: ok, what do u need?
Wanda: 1st I need too make a list
Gina: noted and then?
Wanda: well, could u take yours father car and go do groceries with me?
Gina: don't know if he'll agree
Wanda: I know, but u can ask :)
Gina: I'll try but theres no promisess
Wanda: I know, u r the best!
Gina: When u wanna go
Wanda: Friday?
Gina: ok, I'll ask","Wanda will bring Gina her father car,",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. 
11,"Martin: I won two cinema tickets!
Aggie: oh cool, how come?
Martin: online. on fb, the movie mag organized it
Aggie: so what did you do
Martin: just write a short review and that's it
Aggie: well done :) so what and when. and where?
Martin: the new film with Redford
Aggie: i guess i heard sth
Martin: it's pretty cool i heard. till the end of the week
Aggie: sounds good. we'll find time XD",Martin won two cinema tickets online and won two cinema,Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.
12,"Charlee: I'm in class. Theatre in Portuguese lol
Curtis: Realllly?
Charlee: Yes. One of my subjects at the university that I attend is portuguese theatre. We are preparing a performance
Curtis: What performance is this? Are you devising it?
Charlee: A polish one translated into portuguese
Curtis: Thats quite cool. Who is the writer?
Charlee: Mrożek",Charlee is in portuguese theatre,Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.
13,"Mary: Are you going by car or train?
Tom: Ella rented a car
Ella: this makes all of this much faster
Mary: good decision",Tom will go by car or train. Ella,"Ella rented a car, this makes things much faster for her and Tom. "
14,"Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/",Paul will send Paul the login and password on sun,Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.
15,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.",Betsy should pick Johnny up. Greg and,"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution."
16,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>",Ethan and Marshall have fun making fun of each,"Ethan, Toby and Marshall are making fun of Scott."
17,"Igor: Shit, I've got so much to do at work and I'm so demotivated. 
John: It's pretty irresponsible to give that much work to someone on their notice period.
Igor: Yeah, exactly! Should I even care?
John: It's up to you, but you know what they say...
Igor: What do you mean?
John: Well, they say how you end things shows how you really are...
Igor: And now how you start, right?
John: Gotcha! 
Igor: So what shall I do then? 
John: It's only two weeks left, so grit your teeth and do what you have to do. 
Igor: Easy to say, hard to perform.
John: Come on, stop thinking, start doing! 
Igor: That's so typical of you!  ;)  ",Igor will start doing. She's,Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. 
18,"Clara: Hi, what you up to?
Neela: Not much, chilling out.
Clara: Just rewatching Dear White People on Netflix, love it!😍
Neela: Oh yeah, heard of it, but not seen it yet? Any good?
Clara: Well, yes! I just said it was, LOL. It's about a fictional Ivy League University and the students in one House of Residence.
Neela: Why is it called Dear White People?
Clara: That's the name of the radio show the main character, Sam, presents on college radio.
Neela: Yeah, but why is it so good?
Clara: Well, it's mainly stories from the perspective of black students there, which I find very interesting. The characters are strong and likeable too.
Neela: I suppose it's rather different from the UK, then?
Clara: It seems so, as there is a lot more racial awareness and discrimination there than here. It all kicks off when there is a Blackface party held by an elite group of white students, which gets out of hand.
Neela: How's that?
Clara: Well, obviously, the black students try to break it up and there's also an incident where one guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student. It may be at another party, though, I'm not sure of that.
Neela: Oh, that sounds pretty strong stuff. What else happens?
Clara: Well, there is a young black guy called Lionel who is coming to terms with being gay and is finding his voice as a journalist. He unearths corruption at the uni and he and Sam also uncover some conspiracy theory stuff about secret societies.
Neela: Well, I must say, it does sound good, I'll check it out soon!
Clara: Definitely, there is supposed to be a Series 3 coming up next year, really looking forward to it!
Neela: Well, thanks Clara, I'm just watching the rest of a movie and I'll try Dear White People.
Clara: Don't blame me if you get hooked and stay up till 4!
Neela: See ya, love!
Clara: Bye!",Neela wants to try Dear White People on,Clara is rewatching Dear White People and strongly recommends it to Neela.
19,"Ernest: hey Mike, did you park your car on our street?
Mike: no, took it into garage today
Ernest: ok good
Mike: why?
Ernest: someone just crashed into a red honda looking just like yours
Mike: lol lucky me","Ernest, Mike, a red Honda crash was",Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. 
20,"Deirdre: Hi Beth, how are you love?
Beth: Hi Auntie Deirdre, I'm been meaning to message you, had a favour to ask.
Deirdre: Wondered if you had any thought about your Mum's 40th, we've got to do something special!
Beth: How about a girls weekend, just mum, me, you and the girls, Kira will have to come back from Uni, of course.
Deirdre: Sounds fab! Get your thinking cap on, it's only in 6 weeks! Bet she's dreading it, I remember doing that!
Beth: Oh yeah, we had a surprise party for you, you nearly had a heart attack! 
Deirdre: Well, it was a lovely surprise! Gosh, thats nearly 4 years ago now, time flies! What was the favour, darling?
Beth: Oh, it was just that I fancied trying a bit of work experience in the salon, auntie.
Deirdre: Well, I am looking for Saturday girls, are you sure about it? you could do well in the exams and go on to college or 6th form.
Beth: I know, but it's not for me, auntie, I am doing all foundation papers and I'm struggling with those.
Deirdre: What about a tutor? Kira could help you in the hols.
Beth: Maybe, but I'd like to try working. I'm 16 soon, I'm old enough.
Deirdre: I know. Look, pop in tomorrow after school and we'll have a cuppa and a chat.
Beth: Yes, thanks auntie. I'd really like to try the beauty therapy side.
Deirdre: Its not for the squeamish, mind. Massage, pedicures, not to mention waxing!
Beth: Oh yes, I was chatting to a friend about it yesterday!
Deirdre: Maxine manages the beauty side, you can meet her tomorrow and we'll see how it goes.
Beth: Yes, I'd really like that. 
Deirdre: We can try a few hours on a Saturday for a couple of weeks as work experience. I'll give you a tenner or so per session to start off for your lunch, coffee and bus fare etc. If you like, we'll take it from there.
Beth: OK, I like the sound of it! See you tomorrow Auntie! Love you!
Deirdre: Bye, lovely girl! Xx",Beth is trying to do a girls weekend for,Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.
21,"Gloria: This exam is a bit of a lottery in fact
Gloria: You can't really get prepared, it's all about experience
Emma: But there are some rules and some typical texts right?
Gloria: You can see some texts from previous years
Gloria: <file_other>
Emma: Wow that's very useful
Emma: I have never seen this site
Gloria: Yes it's very good
Gloria: Actually it's good to read all the texts because you will see that some phrases repeat very often
Emma: How much time do you have for all 4 parts?
Gloria: 4 hours
Emma: Is it enough?
Gloria: Well it has to be
Gloria: Would be perfect to have 2 more hours... But on the other hand it would be really exhausting
Emma: 4 hours and no breaks?
Gloria: No breaks :/ So it's really important to be really focused and try to write as fast as you can
Gloria: And read it carefully and correct during the last hour
Emma: I'm going to read everything from that website, it's great",Gloria will read her exam and try to read all,Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.
22,"Adam: Have you talked to May?
Karen: Yes, yesterday, why?
Adam: I just talked to her and I must admit I worry about her
Karen: Me too, I suggested she should see a specialist, but she wasn't very happy about it
Adam: No wonder...
Karen: I know, but I think this is serious. She's saying she's depressed, like everyone around, but in her case it may be true
Adam: She was telling me she doesn't feel like doing anything, she's bored all the time, she never feels happy. It sounds like a real, typical depression
Adam: She also told me that she has trouble sleeping. I asked her to go out for a beer or anything basically, but she doesn't want to leave the flat
Karen: Oh my, it sounds really serious. I don't what to tell you
Adam: I was wondering how I can help her
Karen: Honestly I don't know if we can help her, Adam. I suggested a specialist because these are very sensitive issues and I'm afraid we may unintentionally make it worse
Adam: Yes, but she doesn't want to see a specialist. Basically, she doesn't want to see anyone
Karen: Hm... I don't know... How about I call someone for advice? So we could know what to do
Adam: Sounds rational, do you know anyone you could call? Don't mention her name
Karen: Of course I won't! I have a friend who's a psychologist, we can trust her. I'll let you know
Adam: Thank you Karen!","Adam suggested a specialist for May, but she",Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice. 
23,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene",Irene told Anne that Mark lying to her,Mark lied to Anne about his age. Mark is 40.
24,"Augustine: Guys, remember it's Wharton's bday next week?
Darlene: yay, a party!
Heather: yay! crap we need to buy him a present
Walker: he mentioned paper shredder once
Augustine: wtf?!?
Walker: he did really. for no reason at all.
Heather: whatever that make him happy
Darlene: cool with me. we can shred some papers at the party 
Augustine: so much fun
Heather: srsly guys, you mean we should really get office equipment???
Darlene: Walk, ask him if he really wnts it and if he yes then we get it
Walker: i heard him say that. wasn;t drunk. me neither.
Darlene: but better ask him twice
Walker: will do
Augustine: 2moro ok?
Darlene: and sure ask ab the party!",Darlene has a paper shredder for,"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it. "
25,"Ollie: Okay, Kelly! Ur up nxt!
Kelly: Me? I don't wanna.
Mickey: C'mon!
Jessica: Yeah! What's yours?
Kelly: Fine. It's a sculpture garden in Finnland.
Ollie: What's scary about sculptures? Wait! Do they resemble vampires and stuff?
Mickey: Nah, I'm sure they look rly nice.
Kelly: It's not the sculptures, it's the amount of them and their faces!
Jessica: Faces? What faces?
Kelly: Well, they resemble ppl in different activities like hugging, training, doing sport and so on. But the faces are just morbid and there's like a hundred of them. All staring at you!
Ollie: Another one?
Mickey: Certainly!
Jessica: Well, Ollie, ur turn!
Ollie: Nagoro village in Japan!
Mickey: Y?
Ollie: Well, maybe it's not scary, but it similar to Kelly's place. It's just creepy as hell.
Jessica: Bt y?
Ollie: Imagine a village with ppl living in it. And in the same village u have these human-sized figures. And there's more of them than the ppl that actually live there!
Kelly: Creepy AH!
Mickey: WTF?! Y would ppl even do that?
Jessica: Idk. Idc. Never. Going. There.
Ollie: See! Mine was the worst!
Jessica: Bt not the scariest!
Ollie: Point taken.
Mickey: Listen, guys, fun talking to u, bt gotta go. 
Kelly: Yeah, me too. Bye!
Jessica: Bye!
Ollie: Cu!",Ollie will be there at Nagoro village,"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. "
26,"Myah: <file_photo>
Selah: I can't see the phone number very well. Rewrite it plz
Myah: <file_photo>
Selah: The phone of that person is off",Selah can't see her phone number,Selah called a person that did not pick up.
27,"Eric: Hey Bella, What happened today in boss's room?? Was he angry??
Bella: NO NO!!! He wasn't angry at all.. He actually appreciated on our brave deccision to dismiss the request of client..
Eric: REALLY!! He appreciated this decision..
Bella: Yeah he really did.. I too was astounded by his reaction...
Eric: What could possibly lead to this?? I mean , they were potential clients...
Bella: What he told me was that he was looking forward to bring in new clients which were our current client's competitor..
Eric: Oh that could possibly be the reason.Well anyways you got appreciation xD congo	
Bella: hahaha Blessing in disguise xD",Bella got emotional from boss boss because he,Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.
28,"Ben: Where are you?
Emma: at the rare of the bus
Ben: why?
Emma: there are some free seats here
Emma: so I can have a nap even
Ben: good idea
Emma: when are we going to arrive to NY?
Ben: around 4.30 PM
Emma: if traffic is not crazy
Ben: right, we will see
Emma: could you come here and wake me up around 4.15?
Ben: sure
Emma: thanks!
Ben: sleep well
Emma: I'll try",Ben will wake her up around 4.15 and meet,Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.
29,"Jesse: I have an idea that'll cheer u up!
Melvin: What is it?
Jesse: I was thinking about doing something 4 the less fortunate this year. 
Lee: Gr8 idea! Anything in mind?
Maxine: So no presents 4 me? :(
Jesse: U'll get ur presents, no worries ;)
Maxine: Phew! Was getting a bit worried for a moment ;)
Melvin: Bt what do u have in store?
Jesse: Well, have u heard about the Refuge?
Lee: No. What's that?
Melvin: That's the Christmas foundation to help women and children?
Maxine: I think I've heard of them. So what about them?
Jesse: That's right! They help women and children who escape from abuse. And every year they post wish lists of such ppl online and I thought that we could choose one and chip in. 
Melvin: That's a great idea!
Lee: Count me in!
Maxine: Me too.
Jesse: Have a look at these 3 lists: <file_other> <file_other> <file_other>
Lee: I think the second one would be the easiest to arrange.
Maxine: Agree.
Melvin: What about number 3? A bit ambitious, but if we pull together, we'll manage.
Jesse: Actually, I'm in for the 3rd one.
Maxine: I think the 2nd list would be better. The items cos more or less the same and we can easily divide it.
Melvin: But if we agree to chip in the same amount of money, we can deal with the 3rd one easily. 
Lee: Come to think of it, the 3rd one is not that bad. A bit of planning and logistics and were good to go. 
Jesse: So it's settled?
Melvin: Yup.
Lee: Sure. 
Maxine: Fine.","Melvin, Lee and Maxine decided to help","Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse."
30,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks",Carter will give Mary a few boxes for her,Mary ran out of money. Carter is going to lend her some in an hour.
31,"Charlotte: Hello Paula, a funny question: how do you pronounce 'Natal lily', the name of the plant? It refers to the region of ZA and not to the word 'natal' as in 'his natal day', right?
Paula: Hi Charlotte, 'nu tell', 'nu' as in 'number'.
Charlotte: And the stress on the second syllable? Or the first?
Paula: 2nd
Charlotte: Thank you dear.
Paula: <file_other>
Charlotte: Lovely to hear your voice!!
Paula: :$
Paula: <file_other>
Charlotte: :X",Paula sends Charlotte a message: “,"Paula helped Charlotte with correct pronunciation of ""Natal lily""."
32,"Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!","Jack may eat cocktail at a moment,",Jack and May will drink cocktails later.
33,"Margaret: Honey, buy me some painkiller.
Jack: What is going on?
Margaret: Terrible headache!
Jack: Maybe you should rest!",Margaret should buy Jack some painkiller. Jack,Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers. 
34,"Andrei: hey, did you pick up the film equipment for tonite's shooting?
Serge: no, im on my way there now.
Andrei: cool. do you happen to have your credit card with you? we have an outstanding bill to pay with the company.
Serge: yeah, i do. not a lot of available credit on it, but we'll see when we get there.
Andrei: OK, thanks. theyll be glad when we pay it. its long overdue.
Serge: ill let you know if it works out. getting of the metro now
Andrei: ok",Serge picks up the film equipment for tonite,Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.
35,"Janice: my son has been asking me to get him a hamster for his birthday
Janice: should i?
Martina: NO! NO! NO! NO! NO!
Martina: i got one for my son and it stank up the whole house
Martina: so don't do it!!!",Martina got one for her son's birthday,Martina advises against getting a hamster. 
36,"Daniel: have you guys played DA?
Mary: which one?
Daniel: Inquisition
Mary: damn yes
Mary: love it to bits - team Dorian <3
Lucas: is it any good? I played just DA II
Mary: is it any good?! it's fucking brilliant!!!
Mary: Dan, are you playing?
Daniel: just started and I'm not sure, trying to get used to the mechanics
Mary: you have to give it a go, I was sceptical at first, but... omg, wait for Dorian
Lucas: Is it better than 2?
Mary: oh yes","Daniel, Dan and Lucas are playing DA in",Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.
37,"Judy: Why am I always attracted to jerks??
Janice: It didn’t work out with Andrew?
Judy: He just wanted to fuck me
Judy: When he got what he wanted he stopped calling and texting.
Janice: And Bruce? He’s not a jerk.
Judy: He’s sweet. Maybe too sweet for me…
Judy: He’s a lovely and caring guy but I don’t feel the butterflies… ",Judy is attracted to jerks because,Judy thinks she's always attracted to bad guys.
38,"Riley: Chloe is on tv!!
James: on which channel?
James: never mind i've found it
James: what is she doing? i don't get it
Riley: this is a programme in which women undergo a complete metamorphosis.
Riley: OMG she looks drop dead gorgeous!",Chloe is on TV and has the,Riley and James watch Chloe on tv undergoing a metamorphosis.
39,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch",Ala has a talkative pilot in ,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.
40,"Sebastian: It's been already a year since we moved here.
Sebastian: This is totally the best time of my life.
Kevin: Really? 
Sebastian: Yeah! Totally maaan.
Sebastian: During this 1 year I learned more than ever. 
Sebastian: I learned how to be resourceful, I'm learning responsibility, and I literally have the power to make my dreams come true.
Kevin: It's great to hear that.
Kevin: It's great that you are satisfied with your decisions.
Kevin: And above all it's great to see that you have someone you love by your side :)
Sebastian: Exactly!
Sebastian: That's another part of my life that is going great.
Kevin: I wish I had such a person by my side.
Sebastian: Don't worry about it.
Sebastian: I have a feeling this day will come shortly.
Kevin: Haha. I don' think so, but thanks.
Sebastian: This one year proved to me that when you want something really badly, you can achieve it.
Kevin: I want to win lottery and I never did :D
Sebastian: If you devoted your life to analyze all of the winning numbers, and with your math skills you could win.
Kevin: Devote myself and million dollars for lottery tickets.
Sebastian: Something like that xD
Kevin: I'm happy for you man.
Kevin: I really am
Sebastian: Thanks. It means a lot my friend :)",Sebastian is working at The Greatest place in his,"Sebastian is very happy with his life, and shares this happiness with Kevin."
41,"Frank: Son, will you come home this weekend?
Son: not sure yet. Something happened?
Frank: Of course not. Your mother miss you.
Son: I miss her too.
Frank: So will you com?
Son: I will try.
Frank: Good, I will tell your mother that you will come
Son: oh, dad.. ok I will come.",Son will come to Son's mom this weekend,Son is coming to see his parents' this weekend.
42,"Ola: Hello Kate, sorry for not keeping in touch properly. As expected, we have hardly any connectivity here in Cuba. But we're doing fine and enjoying our trip. How are the things at home?
Kate: At long last! Started to worry. Nothing new happening, if you disregard all that Xmas craze. Momo has recovered from her injury and frolicking again.
Kate: <file_photo>
Kate: Good old Momo! Yes, it is your scarf!
Ola: NO!!! It's one of my favorites! The one from Laos!
Kate: Too late. Momo thinks it belongs to her now. Get yourself a new one. They surely have nice ones there.
Ola: Not at all. Only cheapish cotton blouses with horrible multi-coloured embroidery or some equally horrible crochetted tops. No shawls or scarfs.
Ola: <file_photo>
Kate: Wait a sec!
Kate: <file_photo>
Kate: Isn't it similar?! Mum would probably like it. Why don't you?
Ola: Not a bad idea. But the quality is usually crappy.
Kate: And if you go to some boutique shop or something? Not at a market as in your pics?
Ola: I might try and find some. Would you like one too?
Kate: Not really. And Mum would prefer to be the only one with an authentic Cuban blouse :))
Ola: OK I'll have a look. Greets to everyone at home pls.
Kate: Take care!",Ola will get her outfit out of Cuba to,"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested."
43,"Mike: Do u have new John's number?
Ann: No, u should ask Mary.
Mike: Ok, thank u :*",Mike has John's number. Ann asks,Mike will ask Mary for John's new number.
